text,label
"Saya merasa sangat sedih dan tidak berdaya.",1
"Tidak ada yang peduli padaku, aku merasa sangat kesepian.",1
"Semua terasa hampa dan tidak bermakna.",1
"Aku sering menangis tanpa alasan yang jelas.",1
"Rasanya seperti dunia ini tidak adil padaku.",1
"Aku sering merasa cemas tanpa alasan yang jelas.",1
"Tidurku selalu terganggu oleh mimpi buruk.",1
"Aku merasa tidak berharga dan tidak berguna.",1
"Kehidupan ini terasa sangat berat bagiku.",1
"Aku merasa tidak ada jalan keluar dari masalahku.",1
"Rasanya seperti aku tidak bisa menikmati apa pun lagi.",1
"Aku selalu merasa tegang dan tidak bisa rileks.",1
"Aku kehilangan minat pada hal-hal yang biasanya aku sukai.",1
"Aku merasa terjebak dalam lingkaran kesedihan.",1
"Aku sering merasa sangat marah tanpa alasan.",1
"Aku merasa seperti beban bagi orang lain.",1
"Tidak ada hal yang membuatku bahagia.",1
"Aku sering merasa lelah meskipun tidak melakukan apa-apa.",1
"Aku merasa sangat gugup setiap kali harus berinteraksi dengan orang lain.",1
"Aku sering berpikir untuk mengakhiri hidupku.",1
"Aku merasa tidak ada yang memahami perasaanku.",1
"Aku sering merasa sangat gelisah dan tidak tenang.",1
"Aku merasa sangat rendah diri dan tidak percaya diri.",1
"Aku sering merasa cemas tentang masa depan.",1
"Rasanya seperti aku tidak punya kontrol atas hidupku.",1
"Aku merasa sangat bersalah atas hal-hal yang tidak bisa aku kendalikan.",1
"Aku sering merasa sangat putus asa.",1
"Aku merasa seperti tidak ada yang mengerti diriku.",1
"Aku selalu merasa sangat tertekan.",1
"Aku sering merasa sangat khawatir tentang hal-hal kecil.",1
"Aku merasa sangat pesimis tentang hidupku.",1
"Aku sering merasa sangat terisolasi dari orang lain.",1
"Aku merasa sangat takut menghadapi kehidupan sehari-hari.",1
"Aku merasa sangat lemah dan tidak berdaya.",1
"Aku merasa seperti semua orang lebih baik dariku.",1
"Aku sering merasa sangat gelisah tanpa alasan yang jelas.",1
"Aku merasa sangat kesepian meskipun ada orang di sekitarku.",1
"Aku merasa sangat tidak nyaman di tempat umum.",1
"Aku sering merasa sangat tertekan di tempat kerja.",1
"Aku merasa tidak ada yang bisa aku andalkan.",1
"Aku merasa sangat stres setiap hari.",1
"Aku sering merasa sangat cemas ketika harus berinteraksi dengan orang lain.",1
"Aku merasa sangat putus asa tentang masa depan.",1
"Aku merasa seperti semua orang membenciku.",1
"Aku sering merasa sangat takut tanpa alasan yang jelas.",1
"Aku merasa seperti tidak ada yang peduli padaku.",1
"Aku merasa sangat tertekan ketika sendirian.",1
"Aku merasa sangat cemas tentang kesehatan mentalku.",1
"Aku merasa sangat lelah secara emosional.",1
"Aku merasa sangat khawatir tentang keuangan.",1
"Aku merasa sangat takut kehilangan pekerjaan.",1
"Aku merasa sangat takut akan penolakan.",1
"Aku merasa sangat cemas tentang hubungan sosialku.",1
"Aku merasa sangat tertekan oleh tanggung jawab.",1
"Aku merasa sangat khawatir tentang penampilan fisikku.",1
"Aku merasa sangat takut gagal.",1
"Aku merasa sangat cemas tentang pendidikan anak-anak.",1
"Aku merasa sangat takut menghadapi perubahan.",1
"Aku merasa sangat cemas tentang masa depan anak-anak.",1
"Aku merasa sangat tertekan oleh harapan keluarga.",1
"Aku merasa sangat cemas tentang kesehatan fisikku.",1
"Aku merasa sangat takut akan kegagalan.",1
"Aku merasa sangat cemas tentang pekerjaan rumah.",1
"Aku merasa sangat tertekan oleh pekerjaan.",1
"Aku merasa sangat cemas tentang hubungan keluargaku.",1
"Aku merasa sangat takut kehilangan orang yang aku cintai.",1
"Aku merasa sangat cemas tentang masa depan karirku.",1
"Aku merasa sangat tertekan oleh beban kerja.",1
"Aku merasa sangat cemas tentang performa kerjaku.",1
"Aku merasa sangat takut akan perubahan dalam hidupku.",1
"Aku merasa sangat cemas tentang masa depan pernikahanku.",1
"Aku merasa sangat tertekan oleh ekspektasi sosial.",1
"Aku merasa sangat cemas tentang kesehatan orang tuaku.",1
"Aku merasa sangat takut kehilangan kendali.",1
"Aku merasa sangat cemas tentang masa depan ekonomiku.",1
"Aku merasa sangat tertekan oleh standar kecantikan.",1
"Aku merasa sangat cemas tentang penilaian orang lain.",1
"Aku merasa sangat takut akan masa depan dunia.",1
"Aku merasa sangat cemas tentang kemampuan parentingku.",1
"Aku merasa sangat tertekan oleh tuntutan masyarakat.",1
"Aku merasa sangat cemas tentang perubahan iklim.",1
"Aku merasa sangat takut akan kegelapan.",1
"Aku merasa sangat cemas tentang keamanan rumah.",1
"Aku merasa sangat tertekan oleh tekanan teman sebaya.",1
"Aku merasa sangat cemas tentang keberlanjutan lingkungan.",1
"Aku merasa sangat takut akan perang.",1
"Aku merasa sangat cemas tentang kesehatan mental anak-anakku.",1
"Aku merasa sangat tertekan oleh tanggung jawab pekerjaan.",1
"Aku merasa sangat cemas tentang masa depan pensiunku.",1
"Aku merasa sangat takut akan kehilangan rumah.",1
"Aku merasa sangat cemas tentang keselamatan keluargaku.",1
"Aku merasa sangat tertekan oleh tekanan finansial.",1
"Aku merasa sangat cemas tentang keberlanjutan pekerjaan.",1
"Aku merasa sangat takut akan bencana alam.",1
"Aku merasa sangat cemas tentang keberhasilan anak-anakku.",1
"Aku merasa sangat tertekan oleh harapan akademik.",1
"Aku merasa sangat cemas tentang keamanan finansial.",1
"Aku merasa sangat takut akan kegagalan akademik.",1
"Aku merasa sangat cemas tentang ketidakpastian masa depan.",1
"Aku merasa sangat tertekan oleh persaingan.",1
"Kehidupan sehari-hari terasa sangat membosankan dan tidak berarti.",1
"Tidak ada motivasi untuk bangun dari tempat tidur.",1
"Terus-menerus merasa cemas dan gelisah.",1
"Segala sesuatu terasa seperti beban yang sangat berat.",1
"Sangat sulit untuk fokus pada tugas-tugas sederhana.",1
"Tidak bisa tidur nyenyak dan sering terbangun di malam hari.",1
"Rasa putus asa selalu menghantui pikiran.",1
"Tidak ada nafsu makan atau terlalu banyak makan.",1
"Pikiran negatif selalu muncul dan sulit dikendalikan.",1
"Sulit merasa bahagia meskipun dalam situasi yang menyenangkan.",1
"Kehidupan sosial semakin menjauh dan merasa tidak ada yang peduli.",1
"Selalu merasa ada yang salah dengan diri sendiri.",1
"Menarik diri dari kegiatan yang biasanya menyenangkan.",1
"Pikiran untuk melukai diri sendiri sering muncul.",1
"Tidak ada semangat untuk melakukan apa pun.",1
"Setiap hari terasa seperti perjuangan yang melelahkan.",1
"Sulit untuk bangun di pagi hari dan menghadapi dunia.",1
"Perasaan takut yang berlebihan tanpa alasan yang jelas.",1
"Tidak ada minat untuk berbicara dengan orang lain.",1
"Selalu merasa sangat khawatir tentang segala hal.",1
"Rasa bersalah yang mendalam tanpa alasan yang jelas.",1
"Kesulitan untuk mengambil keputusan sederhana.",1
"Merasa tidak berdaya dalam menghadapi masalah kecil.",1
"Sulit untuk menikmati makanan atau kegiatan favorit.",1
"Tidak ada harapan untuk masa depan yang lebih baik.",1
"Merasa terjebak dalam rutinitas yang sama setiap hari.",1
"Pikiran tentang kematian selalu muncul.",1
"Merasa seperti orang lain selalu menghakimi.",1
"Kehidupan tampak sangat gelap dan tidak ada cahaya.",1
"Selalu merasa sangat lelah meskipun sudah istirahat.",1
"Tidak ada motivasi untuk merawat diri sendiri.",1
"Merasa terisolasi meskipun berada di keramaian.",1
"Tidak bisa berhenti memikirkan kegagalan masa lalu.",1
"Kesulitan untuk merasa antusias tentang apa pun.",1
"Perasaan takut yang tidak bisa dijelaskan.",1
"Kehilangan rasa percaya pada diri sendiri.",1
"Pikiran tentang kegagalan selalu menghantui.",1
"Tidak ada keinginan untuk merencanakan masa depan.",1
"Merasa seperti tidak ada yang bisa dimintai bantuan.",1
"Kehidupan terasa seperti beban yang tak tertahankan.",1
"Tidak ada minat untuk berpartisipasi dalam kegiatan sosial.",1
"Perasaan malu yang berlebihan tanpa alasan yang jelas.",1
"Tidak bisa menikmati momen-momen kecil dalam hidup.",1
"Selalu merasa sangat tertekan oleh ekspektasi orang lain.",1
"Kehilangan rasa humor dan kemampuan untuk tertawa.",1
"Merasa sangat khawatir tentang penampilan fisik.",1
"Kehilangan minat untuk berolahraga atau menjaga kesehatan.",1
"Tidak bisa merasakan cinta atau kasih sayang.",1
"Kesulitan untuk berbicara tentang perasaan dengan orang lain.",1
"Selalu merasa sangat gelisah dan tidak bisa duduk diam.",1
"Saya merasa sangat bahagia dan puas dengan hidup saya.",0
"Hidup ini terasa penuh dengan peluang dan kebahagiaan.",0
"Saya menikmati waktu bersama teman dan keluarga.",0
"Setiap hari saya merasa penuh energi dan semangat.",0
"Saya merasa percaya diri dengan diri saya sendiri.",0
"Saya merasa bersyukur atas segala yang saya miliki.",0
"Saya menikmati setiap tantangan yang datang.",0
"Saya merasa tenang dan damai.",0
"Saya merasa sangat bersemangat untuk mencapai tujuan saya.",0
"Saya merasa dicintai dan dihargai oleh orang-orang di sekitar saya.",0
"Saya tidur nyenyak setiap malam.",0
"Saya merasa sehat dan bugar.",0
"Saya merasa optimis tentang masa depan.",0
"Saya merasa bahagia dengan pekerjaan saya.",0
"Saya merasa senang setiap kali bangun di pagi hari.",0
"Saya merasa puas dengan pencapaian saya.",0
"Saya merasa mampu menghadapi segala situasi.",0
"Saya menikmati hobi saya setiap hari.",0
"Saya merasa nyaman dalam interaksi sosial.",0
"Saya merasa damai dengan diri saya sendiri.",0
"Saya merasa hidup ini penuh dengan kebahagiaan.",0
"Saya merasa yakin dengan kemampuan saya.",0
"Saya merasa aman dan terlindungi.",0
"Saya merasa nyaman dengan keputusan saya.",0
"Saya merasa bersemangat untuk belajar hal-hal baru.",0
"Saya merasa hidup ini sangat berharga.",0
"Saya merasa bersemangat setiap hari.",0
"Saya merasa dekat dengan orang-orang yang saya cintai.",0
"Saya merasa bangga dengan siapa diri saya.",0
"Saya merasa sangat nyaman dengan diri saya sendiri.",0
"Saya merasa puas dengan hubungan saya.",0
"Saya merasa senang bekerja dengan rekan kerja saya.",0
"Saya merasa sangat termotivasi.",0
"Saya merasa sangat bersemangat untuk hari esok.",0
"Saya merasa sangat bersyukur atas hidup saya.",0
"Saya merasa sangat berenergi sepanjang hari.",0
"Saya merasa hidup ini penuh dengan kemungkinan.",0
"Saya merasa sangat nyaman dengan lingkungan saya.",0
"Saya merasa sangat senang dengan pekerjaan saya.",0
"Saya merasa sangat bahagia dengan keluarga saya.",0
"Saya merasa sangat puas dengan kehidupan saya.",0
"Saya merasa sangat terhubung dengan orang lain.",0
"Saya merasa sangat damai dengan pikiran saya.",0
"Saya merasa sangat percaya diri di tempat kerja.",0
"Saya merasa sangat tenang dan rileks.",0
"Saya merasa sangat senang setiap kali bertemu teman.",0
"Saya merasa sangat nyaman dengan diri saya sendiri.",0
"Saya merasa sangat bersemangat untuk setiap hari baru.",0
"Saya merasa sangat puas dengan keputusan-keputusan saya.",0
"Saya merasa sangat tenang dalam menghadapi stres.",0
"Saya merasa sangat percaya diri dalam setiap situasi.",0
"Saya merasa sangat bahagia dengan pasangan saya.",0
"Saya merasa sangat puas dengan perkembangan karir saya.",0
"Saya merasa sangat damai dengan diri saya sendiri.",0
"Saya merasa sangat nyaman dalam lingkungan sosial.",0
"Saya merasa sangat optimis tentang masa depan karir saya.",0
"Saya merasa sangat senang bekerja sama dengan orang lain.",0
"Saya merasa sangat bersyukur atas kesehatan saya.",0
"Saya merasa sangat puas dengan hubungan sosial saya.",0
"Saya merasa sangat termotivasi untuk mencapai tujuan saya.",0
"Saya merasa sangat tenang dalam setiap situasi.",0
"Saya merasa sangat bahagia dengan pencapaian anak-anak saya.",0
"Saya merasa sangat bangga dengan keluarga saya.",0
"Saya merasa sangat puas dengan pencapaian profesional saya.",0
"Saya merasa sangat damai dengan pilihan hidup saya.",0
"Saya merasa sangat bersemangat untuk menghadapi tantangan baru.",0
"Saya merasa sangat nyaman dengan gaya hidup saya.",0
"Saya merasa sangat optimis tentang masa depan keluarga saya.",0
"Saya merasa sangat bahagia dengan teman-teman saya.",0
"Saya merasa sangat percaya diri dengan penampilan saya.",0
"Saya merasa sangat senang dengan lingkungan kerja saya.",0
"Saya merasa sangat puas dengan keseimbangan hidup saya.",0
"Saya merasa sangat termotivasi untuk terus belajar.",0
"Saya merasa sangat tenang dalam menghadapi perubahan.",0
"Saya merasa sangat optimis tentang masa depan anak-anak saya.",0
"Saya merasa sangat bersyukur atas dukungan dari teman-teman saya.",0
"Saya merasa sangat puas dengan pencapaian akademik saya.",0
"Saya merasa sangat tenang dan fokus dalam bekerja.",0
"Saya merasa sangat nyaman dengan keseharian saya.",0
"Saya merasa sangat optimis tentang masa depan kesehatan saya.",0
"Saya merasa sangat bangga dengan kontribusi saya kepada masyarakat.",0
"Saya merasa sangat bahagia dengan rutinitas harian saya.",0
"Saya merasa sangat puas dengan pilihan karir saya.",0
"Saya merasa sangat tenang dan seimbang.",0
"Saya merasa sangat bersemangat untuk meraih mimpi saya.",0
"Saya merasa sangat senang dengan perkembangan pribadi saya.",0
"Saya merasa sangat bangga dengan apa yang telah saya capai dalam hidup ini.",0
"Saya merasa sangat tenang dalam menghadapi situasi sulit.",0
"Saya merasa sangat bahagia dengan dukungan keluarga saya.",0
"Saya merasa sangat puas dengan hubungan profesional saya.",0
"Saya merasa sangat nyaman dengan identitas saya.",0
"Saya merasa sangat termotivasi oleh tujuan hidup saya.",0
"Saya merasa sangat optimis tentang masa depan dunia.",0
"Saya merasa sangat tenang dan damai dalam diri saya sendiri.",0
"Hidup ini penuh dengan kebahagiaan dan sukacita.",0
"Setiap hari adalah kesempatan baru untuk berkembang.",0
"Bersemangat untuk mengejar mimpi dan tujuan.",0
"Momen bersama keluarga selalu menyenangkan.",0
"Pekerjaan terasa memuaskan dan bermakna.",0
"Teman-teman selalu memberikan dukungan dan kebahagiaan.",0
"Merasa sangat puas setelah menyelesaikan tugas-tugas.",0
"Menghadapi tantangan dengan percaya diri dan optimisme.",0
"Menikmati hobi dan kegiatan favorit setiap hari.",0
"Bersemangat untuk belajar hal-hal baru.",0
"Merasa sangat dihargai dan dicintai oleh orang-orang terdekat.",0
"Hidup ini penuh dengan pengalaman yang menyenangkan.",0
"Selalu ada alasan untuk tersenyum setiap hari.",0
"Merasa sangat tenang dan damai dalam berbagai situasi.",0
"Hubungan sosial sangat baik dan memuaskan.",0
"Sangat menikmati waktu di alam terbuka.",0
"Setiap hari terasa seperti petualangan yang menarik.",0
"Selalu merasa segar dan berenergi setelah berolahraga.",0
"Merasa sangat bangga dengan pencapaian pribadi.",0
"Teman-teman selalu memberikan dukungan positif.",0
"Merasa sangat tenang dan damai saat bermeditasi.",0
"Setiap hari adalah kesempatan untuk menjadi lebih baik.",0
"Merasa sangat optimis tentang masa depan yang cerah.",0
"Keluarga selalu memberikan cinta dan dukungan.",0
"Merasa sangat puas dengan gaya hidup sehat.",0
"Sangat menikmati waktu untuk diri sendiri.",0
"Merasa sangat bersemangat saat bekerja pada proyek baru.",0
"Hidup ini penuh dengan peluang yang menarik.",0
"Selalu merasa sangat termotivasi untuk mencapai tujuan.",0
"Merasa sangat terinspirasi oleh orang-orang di sekitar.",0
"Setiap hari terasa penuh dengan kebahagiaan.",0
"Merasa sangat nyaman dan damai di rumah.",0
"Hubungan dengan pasangan sangat harmonis dan bahagia.",0
"Setiap hari adalah kesempatan untuk belajar hal baru.",0
"Merasa sangat bersemangat untuk menghadapi hari baru.",0
"Teman-teman selalu memberikan dukungan moral.",0
"Merasa sangat puas dengan keseimbangan antara pekerjaan dan kehidupan pribadi.",0
"Hidup ini penuh dengan kejutan yang menyenangkan.",0
"Merasa sangat bersyukur atas kesehatan yang baik.",0
"Setiap hari memberikan pengalaman yang berharga.",0
"Merasa sangat tenang saat mendengarkan musik favorit.",0
"Merasa sangat terinspirasi oleh alam sekitar.",0
"Hidup ini penuh dengan kesempatan untuk berbagi kebahagiaan.",0
"Selalu merasa sangat puas setelah menyelesaikan tugas.",0
"Merasa sangat optimis tentang masa depan keluarga.",0
"Hidup ini penuh dengan cinta dan kasih sayang.",0
"Setiap hari terasa seperti berkah yang besar.",0
"Merasa sangat puas dengan pencapaian dalam karir.",0
"Merasa sangat bahagia saat bersama teman-teman.",0
"Hidup ini penuh dengan kebahagiaan yang tak terduga.",0
"Kehilangan minat pada semua hal yang dulu saya sukai.",1
"Saya merasa sangat kesepian bahkan ketika saya bersama orang lain.",1
"Saya merasa sangat putus asa tentang masa depan.",1
"Rasa takut terus-menerus mengganggu pikiran saya.",1
"Saya merasa tidak punya energi untuk melakukan apa pun.",1
"Saya merasa tidak ada yang memahami saya.",1
"Saya sering menangis tanpa alasan yang jelas.",1
"Merasa seperti hidup ini tidak ada gunanya.",1
"Saya merasa sangat terisolasi dari dunia sekitar.",1
"Saya tidak bisa berhenti memikirkan hal-hal buruk yang mungkin terjadi.",1
"Rasa cemas yang mendalam mengganggu keseharian saya.",1
"Saya merasa sangat tidak aman dalam segala hal.",1
"Saya sulit tidur karena pikiran terus-menerus berjalan.",1
"Rasa sakit emosional yang saya rasakan sangat mendalam.",1
"Saya merasa tidak ada harapan sama sekali.",1
"Rasa cemas saya semakin parah setiap harinya.",1
"Saya merasa sangat tidak berarti.",1
"Saya merasa sangat takut untuk keluar rumah.",1
"Saya merasa tidak ada yang peduli jika saya hilang.",1
"Saya merasa terjebak dalam lingkaran negatif yang tidak ada akhirnya.",1
"Rasa bersalah yang mendalam selalu menghantui saya.",1
"Saya merasa seperti beban bagi semua orang.",1
"Saya merasa sangat takut untuk mencoba hal baru.",1
"Rasa cemas saya menghalangi saya untuk menikmati hidup.",1
"Saya merasa sangat putus asa setiap hari.",1
"Setiap hari terasa penuh dengan energi dan kebahagiaan.",0
"Saya sangat menikmati waktu bersama keluarga saya.",0
"Hidup ini terasa sangat bermakna dan memuaskan.",0
"Saya merasa sangat bersemangat setiap kali memulai hari.",0
"Saya merasa sangat percaya diri dengan kemampuan saya.",0
"Saya merasa sangat bahagia dengan kehidupan saya.",0
"Saya merasa sangat bersyukur atas segala yang saya miliki.",0
"Saya merasa sangat optimis tentang masa depan.",0
"Saya merasa sangat damai dengan diri saya sendiri.",0
"Saya merasa sangat berenergi setiap hari.",0
"Saya merasa sangat bahagia ketika bersama teman-teman saya.",0
"Saya merasa sangat puas dengan pekerjaan saya.",0
"Saya merasa sangat nyaman di lingkungan saya.",0
"Saya merasa sangat bersemangat untuk menghadapi tantangan baru.",0
"Saya merasa sangat termotivasi setiap hari.",0
"Saya merasa sangat tenang dan damai.",0
"Saya merasa sangat percaya diri dalam situasi apa pun.",0
"Saya merasa sangat senang melakukan kegiatan sehari-hari.",0
"Saya merasa sangat puas dengan pencapaian saya.",0
"Saya merasa sangat bahagia dengan hubungan saya.",0
"Saya merasa sangat nyaman dengan keputusan-keputusan saya.",0
"Saya merasa sangat senang dengan lingkungan kerja saya.",0
"Saya merasa sangat optimis tentang masa depan keluarga saya.",0
"Saya merasa sangat tenang dalam menghadapi stres.",0
"Saya merasa sangat bersyukur atas dukungan dari orang-orang di sekitar saya.",0
"Setiap malam sulit tidur dan pikiran terus berputar.",1
"Tidak ada semangat untuk melakukan aktivitas sehari-hari.",1
"Rasa cemas datang tanpa peringatan.",1
"Sering kali menangis tanpa alasan yang jelas.",1
"Hilang minat pada semua hal yang dulu dinikmati.",1
"Mudah marah dan frustrasi tanpa alasan yang jelas.",1
"Sering merasa sangat lelah meskipun tidak melakukan apa-apa.",1
"Menarik diri dari teman dan keluarga.",1
"Rasa takut yang berlebihan terhadap masa depan.",1
"Sering berpikir bahwa hidup ini tidak ada gunanya.",1
"Selalu merasa tidak mampu untuk menghadapi tantangan.",1
"Terasa sulit untuk mengambil keputusan sederhana.",1
"Terus-menerus merasa bersalah dan malu.",1
"Pikiran tentang kematian sering muncul.",1
"Sulit untuk fokus pada pekerjaan atau tugas sehari-hari.",1
"Perasaan hampa dan tidak ada tujuan.",1
"Tidak ada nafsu makan atau makan berlebihan.",1
"Sering merasa gelisah dan tidak bisa duduk diam.",1
"Sering merasa terisolasi dan sendirian.",1
"Kehidupan sehari-hari terasa sangat menekan.",1
"Terasa tidak ada yang peduli atau memahami.",1
"Merasa seperti beban bagi orang lain.",1
"Sulit menikmati hal-hal yang dulu menyenangkan.",1
"Rasa putus asa yang mendalam menghantui setiap hari.",1
"Sering kali merasa cemas dan takut tanpa alasan yang jelas.",1
"Bangun setiap pagi dengan perasaan bahagia.",0
"Hidup ini penuh dengan peluang dan kebahagiaan.",0
"Waktu bersama teman-teman selalu menyenangkan.",0
"Setiap hari terasa seperti petualangan baru.",0
"Hubungan dengan keluarga sangat harmonis.",0
"Pekerjaan selalu memberi kepuasan dan makna.",0
"Setiap tantangan dihadapi dengan percaya diri.",0
"Selalu ada alasan untuk tersenyum setiap hari.",0
"Rutinitas harian selalu penuh dengan semangat.",0
"Selalu merasa didukung oleh orang-orang terdekat.",0
"Kesehatan fisik dan mental selalu terjaga dengan baik.",0
"Bangga dengan setiap pencapaian yang diraih.",0
"Hidup ini terasa sangat memuaskan.",0
"Selalu ada energi positif dalam setiap kegiatan.",0
"Waktu luang diisi dengan hobi yang menyenangkan.",0
"Setiap pagi dimulai dengan perasaan optimis.",0
"Teman-teman selalu memberikan dorongan moral.",0
"Setiap hari adalah kesempatan untuk belajar hal baru.",0
"Keluarga selalu menjadi sumber kebahagiaan.",0
"Masa depan terlihat sangat cerah dan menjanjikan.",0
"Selalu ada kedamaian dalam pikiran dan hati.",0
"Tantangan dihadapi dengan semangat dan optimisme.",0
"Hidup ini penuh dengan cinta dan kasih sayang.",0
"Setiap momen bersama orang-orang terkasih selalu berharga.",0
"Hidup ini terasa penuh dengan berkah.",0
"Saat ini, hidup terasa begitu berat dan setiap langkah terasa seperti usaha yang sia-sia.",1
"Terlepas dari usaha keras untuk tetap positif, ada momen ketika kegelapan emosional menyerang tanpa ampun.",1
"Pikiran terus berputar dalam siklus yang tak kunjung berhenti, membebani setiap hari.",1
"Memikirkan masa depan membawa rasa cemas yang tidak bisa dihindari, merusak ketenangan batin.",1
"Setiap malam, sulit sekali tidur karena pikiran-pikiran yang menghantui terus menerus.",1
"Merasa seperti terjebak dalam keadaan yang tidak bisa diubah, membuat harapan tampak begitu jauh.",1
"Ketika melihat ke cermin, sering kali bertanya-tanya apakah diri ini benar-benar ada atau hanya bayangan.",1
"Merasa seperti hidup dalam keadaan mati rasa, dihadapkan pada kebingungan dan ketidakpastian yang tak terduga.",1
"Terasa seperti hanya ada dalam kegelapan yang tidak ada ujungnya, mencari cahaya tanpa berhasil.",1
"Menghadapi dunia dengan senyum palsu, meskipun hati dalam keadaan hancur dan hampa.",1
"Rasa cemas memenuhi ruang kosong dalam hati, mengganggu kedamaian dan ketenangan yang diharapkan.",1
"Ketika mencoba untuk tersenyum, rasanya seolah-olah beban yang begitu besar terus menekan dada.",1
"Merasa terisolasi dari dunia luar, dalam keadaan kesepian yang tak terduga meskipun dikelilingi orang-orang.",1
"Tidak ada kata-kata untuk menggambarkan betapa hancurnya perasaan ini, terjebak dalam kekosongan yang menyedihkan.",1
"Menyadari bahwa setiap hari adalah perjuangan baru untuk menemukan arti dari semua ini.",1
"Menghadapi kebingungan tentang apa yang seharusnya dilakukan selanjutnya, tanpa arah yang jelas.",1
"Menghadapi ketidakpastian masa depan dengan rasa takut yang tidak bisa dijelaskan.",1
"Ketika memikirkan tujuan hidup, kadang-kadang rasanya seperti berada di persimpangan tanpa tanda arah.",1
"Sering kali bertanya-tanya apakah ada tempat yang lebih baik di luar sana, yang sejauh ini masih belum ditemukan.",1
"Setiap hari terasa seperti melompat dari satu kegagalan ke kegagalan berikutnya, tanpa henti.",1
"Mencari-cari makna dari kehidupan yang terasa begitu absurd, dihadapkan pada pertanyaan yang tak kunjung terjawab.",1
"Bangun setiap pagi dengan perasaan lega dan siap menghadapi hari yang baru.",0
"Hidup ini penuh dengan kesempatan untuk belajar hal baru dan mengembangkan diri.",0
"Mencintai pekerjaan yang membawa kepuasan dan rasa bangga setiap harinya.",0
"Setiap tantangan dihadapi dengan semangat dan keyakinan akan kemampuan diri sendiri.",0
"Keluarga selalu memberikan dukungan dan kebahagiaan dalam setiap momen bersama.",0
"Menghabiskan waktu bersama teman-teman selalu menjadi sumber kegembiraan dan keceriaan.",0
"Menyadari betapa beruntungnya memiliki orang-orang terdekat yang selalu mendukung.",0
"Menghadapi setiap hari dengan energi positif dan keinginan untuk menjalani kehidupan dengan penuh makna.",0
"Rasa syukur selalu mengisi hati saat melihat segala pencapaian yang telah diraih.",0
"Merasa sangat bahagia dan puas dengan hubungan sosial yang terjalin erat dan harmonis.",0
"Setiap pagi dimulai dengan rasa optimis tentang masa depan yang cerah dan penuh potensi.",0
"Rutinitas harian dipenuhi dengan aktivitas yang memberikan kepuasan dan kebahagiaan.",0
"Teman-teman selalu memberikan dorongan moral dan energi positif dalam setiap kesempatan.",0
"Kesehatan fisik dan mental selalu terjaga dengan baik melalui gaya hidup yang sehat.",0
"Hidup ini terasa sangat memuaskan dan penuh dengan momen-momen berharga.",0
"Selalu ada kegembiraan dalam mengejar hobi dan minat yang mendalam.",0
"Setiap hari adalah kesempatan untuk belajar dan tumbuh menjadi versi terbaik dari diri sendiri.",0
"Ketika menghabiskan waktu bersama keluarga, selalu ada kebahagiaan yang terpancar dari hati.",0
"Menghargai setiap momen berharga dalam hidup ini dan bersyukur atas semua berkah yang diterima.",0
"Hidup ini terasa sangat bermakna dan penuh dengan tujuan yang memberi arah dalam menjalani hari-hari.",0
